link_id,a,b,aadt,length,speed,ftype,lanes,capacity
3536_11550,3536,11550,4370.1,0.29329,15.19936,4,1,748
3537_3538,3537,3538,1900.6,0.29207,12.51712,4,1,710.6
3537_3541,3537,3541,8911.9,0.24364,15.6464,3,2,1716
3537_3617,3537,3617,8627.2,0.15474,13.4112,3,2,1630.2
3538_3537,3538,3537,1188.1,0.29207,12.51712,4,1,710.6
3538_3539,3538,3539,1766.8,0.30387,15.19936,4,1,748
3539_3538,3539,3538,1173.5,0.30387,15.19936,4,1,748
3539_3545,3539,3545,4498.4,0.21002,15.19936,4,1,748
3539_3616,3539,3616,3162,0.1541,12.51712,4,1,710.6
3540_3547,3540,3547,1102.6,0.23805,11.62304,5,1,525
3540_5484,3540,5484,442.4,0.34922,11.62304,5,1,525
3541_3537,3541,3537,8778.2,0.24364,15.6464,3,2,1716
3541_3542,3541,3542,8417.1,0.20878,15.6464,3,2,1716
3542_3541,3542,3541,8291.2,0.20878,15.6464,3,2,1716
3542_3634,3542,3634,7690.8,0.24551,15.19936,4,1,748
3542_3809,3542,3809,9667.6,0.28648,15.6464,3,2,1716
3542_11551,3542,11551,8156.9,0.28958,15.19936,4,1,748
3544_3545,3544,3545,2492.7,0.24483,15.19936,4,1,748
3544_3771,3544,3771,2880.8,0.02944,10.28192,41,1,1200
3544_10051,3544,10051,4244.4,0.12082,10.28192,41,1,1200
3544_11551,3544,11551,2947.8,0.30825,15.19936,4,1,748
3545_3539,3545,3539,1700,0.21002,15.19936,4,1,748
3545_3544,3545,3544,5300.4,0.24483,15.19936,4,1,748
3546_5181,3546,5181,2839.7,0.22784,10.818368,5,1,599
3547_3540,3547,3540,1029.4,0.23805,11.62304,5,1,525
3547_9690,3547,9690,427,0.21322,10.28192,5,1,498.75
3547_10931,3547,10931,677.9,0.13182,10.28192,5,1,498.75
3548_6839,3548,6839,3354.5,0.26766,15.6464,3,1,894
3548_9035,3548,9035,3177.7,0.04116,15.6464,3,1,894
3550_5493,3550,5493,2199.8,0.54621,12.51712,4,1,710.6
3550_5516,3550,5516,5779.3,0.33618,12.51712,4,1,710.6
3551_3434,3551,3434,1729.8,0.37763,12.51712,4,1,710.6
3551_8976,3551,8976,1340.7,0.15261,12.51712,4,1,710.6
3552_3431,3552,3431,2349.3,0.34984,15.19936,4,1,748
3552_3434,3552,3434,3053.6,0.16317,15.19936,4,1,748
3553_3507,3553,3507,5061.9,0.06878,19.22272,3,1,938.7
3553_3513,3553,3513,634.6,0.34729,15.6464,3,1,894
3555_3708,3555,3708,2500.4,0.10874,15.6464,3,2,1716
3555_4772,3555,4772,4213.1,0.25625,19.22272,3,2,1801.8
3555_10437,3555,10437,15271.3,0.24944,23.69312,13,2,2042
3556_3809,3556,3809,16646.1,0.07404,15.6464,3,2,1716
3556_9742,3556,9742,23944,0.11636,15.6464,3,2,1716
3556_10048,3556,10048,11553.3,0.24964,10.28192,41,2,1800
3557_6450,3557,6450,726,0.50557,16.98752,4,1,785.4
3557_7198,3557,7198,4112.4,0.50368,16.98752,4,1,785.4
3558_3602,3558,3602,5985.9,0.1507,17.836896,2,1,1162
3559_3415,3559,3415,8682.7,0.18021,14.30528,2,2,1765.1
3559_3560,3559,3560,8039.2,0.17647,14.30528,2,2,1765.1
3560_3559,3560,3559,8682.7,0.17647,14.30528,2,2,1765.1
3560_5504,3560,5504,5586.1,0.32066,14.30528,2,2,1765.1
3561_8410,3561,8410,8459.6,0.09108,15.6464,3,2,1716
3561_9179,3561,9179,11798.1,0.10392,15.6464,3,3,2466
3561_10004,3561,10004,10148.4,0.25185,10.28192,41,2,1800
3562_3736,3562,3736,1501,0.1457,15.6464,3,3,2466
3562_9057,3562,9057,4196.1,0.07523,14.08176,3,3,2466
3562_9059,3562,9059,2165.2,0.02727,15.19936,4,1,748
3563_3567,3563,3567,3738.8,0.05468,15.19936,4,1,748
3563_3569,3563,3569,3398.7,0.1482,15.19936,4,1,748
3564_5369,3564,5369,6078.4,0.29787,15.19936,4,2,1422
3564_9058,3564,9058,1943.8,0.05838,15.19936,4,2,1422
3565_3566,3565,3566,13705.9,0.36242,15.020544000000001,14,3,2862
3565_9055,3565,9055,13531.1,0.0375,19.312128,14,3,2862
3566_3565,3566,3565,13531.1,0.36242,15.020544000000001,14,3,2862
3566_9709,3566,9709,14544.9,0.56824,15.020544000000001,14,3,2862
3567_3563,3567,3563,3398.7,0.05468,15.19936,4,1,748
3567_3750,3567,3750,3932.7,0.2989,12.51712,4,1,710.6
3567_7603,3567,7603,12756.6,0.02299,15.19936,4,1,748
3567_9743,3567,9743,15339.3,0.07827,15.6464,3,2,1716
3569_3563,3569,3563,3738.8,0.1482,15.19936,4,1,748
3569_9061,3569,9061,1848,0.09157,15.19936,4,1,748
3570_3417,3570,3417,8137.9,0.14106,13.4112,3,2,1630.2
3570_3421,3570,3421,8311.3,0.11931,13.4112,3,2,1630.2
