n,x,y
1379,410329,4489022
1380,411257,4489083
1381,410351,4488321
1382,411274,4488235
1383,412004,4489022
1384,412686,4489022
1385,412065,4488264
1386,412896,4488252
1387,413445,4488237
1388,406705,4488335
1389,408114,4489087
1390,408052,4488053
1391,408038,4486971
1392,409440,4488380
1393,409524,4487229
1394,410389,4487516
1395,411263,4487314
1396,412087,4487240
1397,412905,4487254
1398,413927,4487017
1399,405275,4484034
1400,406580,4485860
1401,407613,4483272
1402,408505,4485729
1403,410421,4485779
1404,410549,4483914
1405,410616,4482389
1406,412105,4486035
1407,412842,4485856
1408,413581,4486108
1409,412122,4484975
1410,412809,4485022
1411,414220,4485232
1412,412239.2776,4483863.70321
1413,414022,4483895
1414,412919,4482132
1415,413883.12649,4482467.95157
1416,414894.11661,4482213.08011
1417,408754,4480558
1418,410565,4480628
1419,413084,4480492
1420,412011,4498393
1421,413012,4498338
1422,414124,4498713
1423,414089,4497926
1424,412404,4496917
1425,413065,4496776
1426,413787,4496737
1427,414650,4496749
1428,415197,4496761
1429,415898,4497740
1430,416527,4498437
1431,417101,4498287
1432,417216,4496714
1433,417821,4498236
1434,418582,4498236
1435,419405,4498282
1436,417797,4496710
1437,418606,4496651
1438,419375,4496616
1439,420193,4498256
1440,420203,4496608
1441,420996,4498190
1442,421718,4498889
1443,421726,4497764
1444,421008,4496628
1445,421800,4496667
1446,422436,4498542
1447,422534,4498014
1448,423226,4498389
1449,422589,4497659
1450,422460,4496960
1451,422601.30028,4496282.42175
1452,422627.32431,4495195.91851
1453,423296,4497456
1454,423190,4496546
1455,413146,4494882
1456,414213,4495280
1457,414308,4494078
1458,415295,4494311
1459,415966,4494757
1460,416752,4494946
1461,417165,4495113
1462,416970,4493672
